_id|label|phone|url 
7b668553|1|+1-800-555-1234|http://www.example.com
3b396e53|2|+1-800-555-1234|http://www.example.com
8b95be61|3|+1-800-555-1234|http://www.example.com
bb5aec2f|4|+1-800-555-1234|http://www.example.com
ba723435|5|+1-800-555-1234|http://www.example.com
6b637953|6|+1-800-555-1234|http://www.example.com
3bc5ee2f|7|+1-800-555-1234|http://www.example.com
3bd67153|8|+1-800-555-1234|http://www.example.com
6bb5f22f|9|+1-800-555-1234|http://www.example.com
0e1c9bc8|10|+1-800-555-1234|http://www.example.com
